"","ID","SiteNumber","Lat","Long","intersection","HUC","elevation","elev_units","geometry"
"237",237,"07825.*A",44.8072222,-68.8280556,64611,"010200050805",51.35,"meters",c(-68.8280556, 44.8072222)
"238",238,"07828.*A",44.4497222,-68.3613889,24077,"010500021408",23.73,"meters",c(-68.3613889, 44.4497222)
"239",239,"08215.*A",43.6455556,-70.3086111,82158,"010600010402",15.85,"meters",c(-70.3086111, 43.6455556)
"240",240,"08221.*A",46.6888889,-68.0447222,41447,"010100041107",142.47,"meters",c(-68.0447222, 46.6888889)
"241",241,"09518.*A",45.0780556,-83.5602778,24244,"040700030403",207.14,"meters",c(-83.5602778, 45.0780556)
"242",242,"09548.*A",42.3063889,-85.25,64377,"040500030503",282.13,"meters",c(-85.25, 42.3063889)
"243",243,"09749.*A",42.2122222,-83.3533333,44302,"040900040702",193.49,"meters",c(-83.3533333, 42.2122222)
"244",244,"09750.*A",42.24,-83.5308333,44305,"040900040302",216.35,"meters",c(-83.5308333, 42.24)
"245",245,"09788.*A",45.7225,-87.0936111,38689,"040301110210",181.68,"meters",c(-87.0936111, 45.7225)
"246",246,"09809.*A",42.9652778,-83.7447222,29804,"040802040305",235.47,"meters",c(-83.7447222, 42.9652778)
"247",247,"09852.*A",42.8808333,-85.5227778,86445,"040500070408",240.87,"meters",c(-85.5227778, 42.8808333)
"248",248,"09881.*A",47.1683333,-88.4888889,24378,"040201030304",324.11,"meters",c(-88.4888889, 47.1683333)
"249",249,"09962.*A",45.8183333,-88.1144444,38702,"040301080702",343.4,"meters",c(-88.1144444, 45.8183333)
"250",250,"09968.*A",46.5272222,-90.1313889,24787,"040103020108",374.33,"meters",c(-90.1313889, 46.5272222)
"251",251,"09986.*A",42.2341667,-85.5513889,64456,"040500030604",264.22,"meters",c(-85.5513889, 42.2341667)
"252",252,"10010.*A",42.7786111,-84.5861111,60928,"040500040704",258.5,"meters",c(-84.5861111, 42.7786111)
"253",253,"10049.*A",44.2722222,-86.2466667,38719,"040601030705",187.67,"meters",c(-86.2466667, 44.2722222)
"254",254,"10064.02*A",46.3536111,-87.3952778,31378,"040301100110",362.53,"meters",c(-87.3952778, 46.3536111)
"255",255,"10127.*A",43.1675,-86.2352778,38743,"040601011011",189.55,"meters",c(-86.2352778, 43.1675)
"256",256,"10218.*A",45.5708333,-84.7966667,23615,"040700040206",216.7,"meters",c(-84.7966667, 45.5708333)
"257",257,"10232.*A",42.6655556,-83.4202778,29966,"040900030108",295.33,"meters",c(-83.4202778, 42.6655556)
"258",258,"10299.*A",43.5327778,-84.0794444,24390,"040802060203",201.39,"meters",c(-84.0794444, 43.5327778)
"259",259,"10329.*A",46.2505556,-84.4722222,54102,"042000021001",241.91,"meters",c(-84.4722222, 46.2505556)
"260",260,"10379.*A",44.7413889,-85.5816667,37946,"040601050706",187.38,"meters",c(-85.5816667, 44.7413889)
"261",261,"10546.*A",47.5105556,-94.9347222,254,"070101010502",423.06,"meters",c(-94.9347222, 47.5105556)
"262",262,"10576.*A",46.4041667,-94.1336111,266,"070101040505",373.59,"meters",c(-94.1336111, 46.4041667)
"263",263,"10653.*A",46.8419444,-92.1936111,23206,"040102020501",432.84,"meters",c(-92.1936111, 46.8419444)
"264",264,"10737.*A",47.3863889,-92.8388889,100290,"040102010601",410.52,"meters",c(-92.8388889, 47.3863889)
"265",265,"10749.*A",48.5655556,-93.4019444,99377,"090300080501",357.79,"meters",c(-93.4019444, 48.5655556)
"266",266,"10824.*A",44.8819444,-93.2216667,60789,"070200121110",251.53,"meters",c(-93.2216667, 44.8819444)
"267",267,"10950.1*A",43.9080556,-92.5,62147,"070400040104",396.17,"meters",c(-92.5, 43.9080556)
"268",268,"10962.1*A",45.5463889,-94.0597222,255,"070102030303",310.4,"meters",c(-94.0597222, 45.5463889)
"269",269,"11024.*A",48.0655556,-96.185,60020,"090203030301",339.46,"meters",c(-96.185, 48.0655556)
"270",270,"11567.*A",36.5319444,-93.2002778,21869,"110100030102",379.11,"meters",c(-93.2002778, 36.5319444)
"271",271,"11605.*A",37.2252778,-89.5705556,58355,"080202040102",102.5,"meters",c(-89.5705556, 37.2252778)
"272",272,"11651.1*A",38.8180556,-92.2194444,63713,"103001020902",267.83,"meters",c(-92.2194444, 38.8180556)
"273",273,"11810.*A",37.1516667,-94.4980556,61359,"110702070608",295.44,"meters",c(-94.4980556, 37.1516667)
"274",274,"11816.*A",39.1227778,-94.5927778,60872,"103001010301",226.61,"meters",c(-94.5927778, 39.1227778)
"275",275,"11816.6*A",39.2975,-94.7138889,62196,"102400120710",304.17,"meters",c(-94.7138889, 39.2975)
"276",276,"11834.*A",40.0933333,-92.5447222,62265,"102802030101",293.37,"meters",c(-92.5447222, 40.0933333)
"277",277,"12138.*A",37.2455556,-93.3886111,61420,"102901060204",383.75,"meters",c(-93.3886111, 37.2455556)
"278",278,"12074.*A",39.7719444,-94.9094444,87910,"102400110104",246.86,"meters",c(-94.9094444, 39.7719444)
"279",279,"12077.*A",38.7486111,-90.37,55252,"103002000802",163.17,"meters",c(-90.37, 38.7486111)
"280",280,"12082.5*A",38.6619444,-90.6519444,14295,"103002000702",140.76,"meters",c(-90.6519444, 38.6619444)
"281",281,"52653.*A",28.2013889,-177.3811111,NA,"",NA,"meters",c(-177.3811111, 28.2013889)
"282",282,"11140.1*A",30.3677778,-89.4544444,63779,"031700091305",4.21,"meters",c(-89.4544444, 30.3677778)
"283",283,"11194.51*A",33.4480556,-88.5913889,61365,"031601040605",80.08,"meters",c(-88.5913889, 33.4480556)
"284",284,"11244.*A",33.4827778,-90.9855556,29096,"080302071305",38.3,"meters",c(-90.9855556, 33.4827778)
"285",285,"11253.*A",30.4072222,-89.07,63498,"031700090602",7.68,"meters",c(-89.07, 30.4072222)
"286",286,"11255.1*A",31.4669444,-89.3369444,61979,"031700040904",89.94,"meters",c(-89.3369444, 31.4669444)
"287",287,"11280.*A",32.3111111,-90.0758333,63008,"031800020604",100.73,"meters",c(-90.0758333, 32.3111111)
"288",288,"11339.*A",32.3325,-88.7516667,61609,"031700010603",87.83,"meters",c(-88.7516667, 32.3325)
"289",289,"11358.*A",31.6136111,-91.2972222,26953,"080601000401",81.43,"meters",c(-91.2972222, 31.6136111)
"290",290,"11375.1*A",34.3841667,-89.5366667,14302,"080302010903",126.68,"meters",c(-89.5366667, 34.3841667)
"291",291,"11458.2*A",34.685,-90.3477778,24275,"080302040801",59.11,"meters",c(-90.3477778, 34.685)
"292",292,"11462.*A",34.2688889,-88.7697222,61166,"031601020404",104.68,"meters",c(-88.7697222, 34.2688889)
"293",293,"12265.*A",45.8075,-108.5427778,92978,"100700041005",1091.07,"meters",c(-108.5427778, 45.8075)
"294",294,"12278.*A",45.7775,-111.1519444,61734,"100200081302",1357.27,"meters",c(-111.1519444, 45.7775)
"295",295,"12286.*A",45.9547222,-112.4972222,79436,"170102010201",1684.85,"meters",c(-112.4972222, 45.9547222)
"296",296,"12381.*A",47.4825,-111.3705556,85832,"100301040907",1117.26,"meters",c(-111.3705556, 47.4825)
"297",297,"12402.*A",46.6066667,-111.9833333,4191,"100301011310",1172.5,"meters",c(-111.9833333, 46.6066667)
"298",298,"12418.*A",48.3102778,-114.2558333,7300,"170102080204",905.02,"meters",c(-114.2558333, 48.3102778)
"299",299,"12426.*A",47.0491667,-109.4666667,92420,"100401030706",1266.39,"meters",c(-109.4666667, 47.0491667)
"300",300,"12453.*A",46.9161111,-114.0905556,8103,"170102040205",974.1,"meters",c(-114.0905556, 46.9161111)
"301",301,"12503.*A",47.7066667,-104.1925,93883,"101000042209",601.8,"meters",c(-104.1925, 47.7066667)
"302",302,"12549.1*A",44.6883333,-111.1175,91174,"100200070205",2023.29,"meters",c(-111.1175, 44.6883333)
"303",303,"12573.*A",48.0944444,-105.575,90762,"100600011402",604.8,"meters",c(-105.575, 48.0944444)
"304",304,"16517.5*A",35.4344444,-82.5425,92777,"060101050704",651.47,"meters",c(-82.5425, 35.4344444)
"305",305,"16608.*A",35.2136111,-80.9488889,68337,"030501030103",215.3,"meters",c(-80.9488889, 35.2136111)
"306",306,"16644.2*A",35.3875,-80.7088889,71069,"030401050106",204.19,"meters",c(-80.7088889, 35.3875)
"307",307,"16723.*A",34.9911111,-78.8802778,90112,"030300040707",55.8,"meters",c(-78.8802778, 34.9911111)
"308",308,"16758.*A",36.1011111,-79.9411111,93552,"030300020102",277.96,"meters",c(-79.9411111, 36.1011111)
"309",309,"16761.*A",35.6355556,-77.3838889,92987,"030201030404",7.32,"meters",c(-77.3838889, 35.6355556)
"310",310,"16793.*A",35.7411111,-81.3894444,91125,"030501010804",351.7,"meters",c(-81.3894444, 35.7411111)
"311",311,"16815.1*A",34.8291667,-77.6119444,91591,"030300070402",27.42,"meters",c(-77.6119444, 34.8291667)
"312",312,"16836.*A",35.3313889,-77.6086111,90038,"030202020305",26.14,"meters",c(-77.6086111, 35.3313889)
"313",313,"16971.*A",35.0727778,-77.0427778,90476,"030202040305",4.92,"meters",c(-77.0427778, 35.0727778)
"314",314,"17035.*A",35.8775,-78.7872222,93393,"030202010801",127.39,"meters",c(-78.7872222, 35.8775)
"315",315,"17066.*A",35.8561111,-77.8916667,91433,"030201010606",46.43,"meters",c(-77.8916667, 35.8561111)
"316",316,"17211.*A",34.2711111,-77.9027778,14024,"030300070808",8.49,"meters",c(-77.9027778, 34.2711111)
"317",317,"17220.*A",36.1336111,-80.2219444,71737,"030401011304",290.16,"meters",c(-80.2219444, 36.1336111)
"318",318,"17265.*A",46.7725,-100.7455556,65646,"101301031505",500.42,"meters",c(-100.7455556, 46.7725)
"319",319,"17302.*A",48.1163889,-98.91,47379,"090202011202",441.1,"meters",c(-98.91, 48.1163889)
"320",320,"17304.*A",46.7972222,-102.8016667,1370,"101302020302",786.94,"meters",c(-102.8016667, 46.7972222)
"321",321,"17328.*A",46.9205556,-96.8155556,62055,"090201040504",273.05,"meters",c(-96.8155556, 46.9205556)
"322",322,"17349.1*A",47.9472222,-97.1736111,71101,"090203070304",256.75,"meters",c(-97.1736111, 47.9472222)
"323",323,"17367.*A",46.9297222,-98.6780556,3767,"101600030303",455.31,"meters",c(-98.6780556, 46.9297222)
"324",324,"17418.*A",48.2575,-101.2777778,22954,"090100081210",512.75,"meters",c(-101.2777778, 48.2575)
"325",325,"17496.1*A",48.1777778,-103.6422222,15298,"101101010303",587.43,"meters",c(-103.6422222, 48.1777778)
"326",326,"12597.*A",42.0530556,-102.8036111,69030,"101500030505",1196.29,"meters",c(-102.8036111, 42.0530556)
"327",327,"12674.*A",42.8375,-103.0952778,70662,"101402010506",1001.2,"meters",c(-103.0952778, 42.8375)
"328",328,"12743.*A",40.9675,-98.3094444,65151,"102001030401",560.91,"meters",c(-98.3094444, 40.9675)
"329",329,"12783.*A",40.7269444,-99.0066667,65050,"102001020305",648.54,"meters",c(-99.0066667, 40.7269444)
"330",330,"12794.*A",40.8508333,-96.7588889,65592,"102002030406",360.13,"meters",c(-96.7588889, 40.8508333)
"331",331,"12808.*A",40.2061111,-100.5919444,45961,"102500040703",779.49,"meters",c(-100.5919444, 40.2061111)
"332",332,"12842.*A",41.1261111,-100.6836111,66045,"102001010109",844.13,"meters",c(-100.6836111, 41.1261111)
"333",333,"12854.*A",41.3030556,-95.8938889,769,"102300060601",297.91,"meters",c(-95.8938889, 41.3030556)
"334",334,"12915.*A",41.8738889,-103.5955556,72182,"101800090807",1204.28,"meters",c(-103.5955556, 41.8738889)
"335",335,"13332.*A",42.9327778,-71.4355556,21571,"010700060703",69.09,"meters",c(-71.4355556, 42.9327778)
"336",336,"13386.*A",43.0777778,-70.8230556,22135,"010600030904",24.15,"meters",c(-70.8230556, 43.0777778)
"337",337,"13487.*A",39.4575,-74.5769444,65509,"020403020401",19.56,"meters",c(-74.5769444, 39.4575)
"338",338,"14052.*A",40.6922222,-74.1686111,11756,"020301040203",2.74,"meters",c(-74.1686111, 40.6922222)
"339",339,"14349.*A",40.85,-74.0608333,45768,"020301030906",0.72,"meters",c(-74.0608333, 40.85)
"340",340,"14366.*A",40.2766667,-74.8133333,21161,"020401050911",57.24,"meters",c(-74.8133333, 40.2766667)
"341",341,"14532.*A",35.0388889,-106.6080556,67688,"130202030304",1620.24,"meters",c(-106.6080556, 35.0388889)
"342",342,"14559.*A",32.3372222,-104.2633333,33342,"130600111203",992.4,"meters",c(-104.2633333, 32.3372222)
"343",343,"14578.*A",34.4263889,-103.0775,69954,"120500020203",1278.79,"meters",c(-103.0775, 34.4263889)
"344",344,"14607.*A",36.7411111,-108.2297222,67842,"140801050302",1675.96,"meters",c(-108.2297222, 36.7411111)
"345",345,"14621.*A",32.6875,-103.2172222,66504,"120800030610",1112.87,"meters",c(-103.2172222, 32.6875)
"346",346,"14636.*A",32.2891667,-106.9219444,25236,"130301020608",1354.32,"meters",c(-106.9219444, 32.2891667)
"347",347,"14719.*A",33.3013889,-104.5305556,46151,"130600070504",1113.75,"meters",c(-104.5305556, 33.3013889)
"348",348,"14726.01*A",33.4608333,-105.53,44181,"130600080105",2062.95,"meters",c(-105.53, 33.4608333)
"349",349,"14728.*A",35.6169444,-106.0891667,66956,"130202010107",1922.51,"meters",c(-106.0891667, 35.6169444)
"350",350,"14737.*A",32.6363889,-108.1561111,24674,"130302020303",1645.25,"meters",c(-108.1561111, 32.6363889)
"351",351,"13051.*A",39.2994444,-114.8416667,70032,"160600081402",1903.56,"meters",c(-114.8416667, 39.2994444)
"352",352,"13083.*A",36.08,-115.1522222,65099,"150100150708",643.39,"meters",c(-115.1522222, 36.08)
"353",353,"13082.*A",36.2105556,-115.1944444,65091,"150100150604",667.24,"meters",c(-115.1944444, 36.2105556)
"354",354,"13123.*A",39.4988889,-119.7680556,71455,"160501020508",1342.01,"meters",c(-119.7680556, 39.4988889)
"355",355,"14789.*A",42.7488889,-73.8019444,67670,"020200041110",84.29,"meters",c(-73.8019444, 42.7488889)
"356",356,"14904.*A",42.2083333,-75.9794444,66944,"020501030201",486.72,"meters",c(-75.9794444, 42.2083333)
"357",357,"14954.*A",42.9402778,-78.7305556,42248,"042701010404",215.73,"meters",c(-78.7305556, 42.9402778)
"358",358,"15203.*A",42.1597222,-76.8916667,69289,"020501050403",287.25,"meters",c(-76.8916667, 42.1597222)
"359",359,"15236.*A",40.7286111,-73.4133333,14526,"020302020202",20.9,"meters",c(-73.4133333, 40.7286111)
"360",360,"15309.*A",43.3411111,-73.6102778,22782,"020200030503",97.32,"meters",c(-73.6102778, 43.3411111)
"361",361,"15488.*A",42.4911111,-76.4586111,71013,"041402011103",329.85,"meters",c(-76.4586111, 42.4911111)
"362",362,"15491.*A",42.1533333,-79.2577778,16509,"050100020207",523.7,"meters",c(-79.2577778, 42.1533333)
"363",363,"15647.*A",44.9361111,-74.845,45440,"042900040502",61.27,"meters",c(-74.845, 44.9361111)
"364",364,"15713.11*A",41.7013889,-74.795,72275,"020401040103",419.32,"meters",c(-74.795, 41.7013889)
"365",365,"15793.*A",40.6397222,-73.7786111,15385,"020301040502",2.76,"meters",c(-73.7786111, 40.6397222)
"366",366,"15794.*A",40.7772222,-73.8725,44537,"020301020104",1.46,"meters",c(-73.8725, 40.7772222)
"367",367,"15783.*A",40.795,-73.1,14596,"020302020305",25.78,"meters",c(-73.1, 40.795)
"368",368,"15752.*A",41.5038889,-74.1047222,69389,"020200080502",141.32,"meters",c(-74.1047222, 41.5038889)
"369",369,"15800.*A",43.1075,-78.9458333,42215,"042701010805",178.54,"meters",c(-78.9458333, 43.1075)
"370",370,"15851.*A",44.6816667,-75.4652778,44840,"042900031003",88.49,"meters",c(-75.4652778, 44.6816667)
"371",371,"15957.01*A",44.6508333,-73.4680556,45571,"043001081402",57.48,"meters",c(-73.4680556, 44.6508333)
"372",372,"15989.2*A",41.6263889,-73.8841667,69377,"020200080206",47.24,"meters",c(-73.8841667, 41.6263889)
"373",373,"16034.*A",43.1188889,-77.6716667,45904,"041300030701",167.74,"meters",c(-77.6716667, 43.1188889)
"374",374,"16040.*A",43.2336111,-75.4069444,22791,"020200040303",147.63,"meters",c(-75.4069444, 43.2336111)
"375",375,"16097.*A",44.3852778,-74.2061111,45432,"043001060202",502.8,"meters",c(-74.2061111, 44.3852778)
"376",376,"16269.*A",43.1111111,-76.1061111,71184,"041402011508",125.35,"meters",c(-76.1061111, 43.1111111)
"377",377,"16367.*A",43.9916667,-76.0205556,56428,"041403020402",96.26,"meters",c(-76.0205556, 43.9916667)
"378",378,"16433.*A",41.0669444,-73.7075,100947,"011000060405",121.71,"meters",c(-73.7075, 41.0669444)
"379",379,"17521.*A",40.915,-81.4436111,65986,"050400010302",366.09,"meters",c(-81.4436111, 40.915)
"380",380,"17731.*A",39.1033333,-84.4186111,44467,"050902021406",143.64,"meters",c(-84.4186111, 39.1033333)
"381",381,"17757.*A",41.5177778,-81.6825,56482,"041100030504",176.56,"meters",c(-81.6825, 41.5177778)
"382",382,"17746.*A",41.4091667,-81.8544444,71286,"041100010203",236.39,"meters",c(-81.8544444, 41.4091667)
"383",383,"17787.*A",40.0797222,-83.0730556,17655,"050600011102",274.46,"meters",c(-83.0730556, 40.0797222)
"384",384,"17788.*A",39.9969444,-82.8919444,17669,"050600011505",247.18,"meters",c(-82.8919444, 39.9969444)
"385",385,"17786.*A",39.8136111,-82.9277778,17675,"050600011805",223.27,"meters",c(-82.9277778, 39.8136111)
"386",386,"17818.*A",39.9022222,-84.2191667,70435,"050800011405",305.08,"meters",c(-84.2191667, 39.9022222)
"387",387,"18157.*A",40.8213889,-82.5163889,66312,"050400020103",392.35,"meters",c(-82.5163889, 40.8213889)
"388",388,"18577.*A",41.5866667,-83.8077778,46197,"041000090803",203.87,"meters",c(-83.8077778, 41.5866667)
"389",389,"18717.*A",39.4277778,-83.7919444,44080,"050902020604",320.87,"meters",c(-83.7919444, 39.4277778)
"390",390,"18753.*A",41.2613889,-80.6802778,16153,"050301030503",350.75,"meters",c(-80.6802778, 41.2613889)
"391",391,"19063.*A",34.5675,-98.4163889,19385,"111302020302",334.81,"meters",c(-98.4163889, 34.5675)
"392",392,"19136.*A",35.3930556,-97.6005556,43027,"110902020302",393.11,"meters",c(-97.6005556, 35.3930556)
"393",393,"19241.*A",36.1613889,-97.0858333,20459,"110500030106",292.53,"meters",c(-97.0858333, 36.1613889)
"394",394,"19283.*A",36.1983333,-95.8880556,71097,"110701070404",191.96,"meters",c(-95.8880556, 36.1983333)
"395",395,"19434.*A",44.1244444,-123.2119444,46763,"170900030108",109.91,"meters",c(-123.2119444, 44.1244444)
"396",396,"19481.*A",42.1561111,-121.7330556,26129,"180102041201",1246.59,"meters",c(-121.7330556, 42.1561111)
"397",397,"19514.*A",42.3741667,-122.8733333,47545,"171003080202",399.52,"meters",c(-122.8733333, 42.3741667)
"398",398,"19538.*A",44.5802778,-124.0577778,37429,"171002050502",41.79,"meters",c(-124.0577778, 44.5802778)
"399",399,"19541.*A",43.4169444,-124.2469444,11394,"171003040306",7.06,"meters",c(-124.2469444, 43.4169444)
"400",400,"19562.*A",45.6947222,-118.8427778,73263,"170701030802",450.19,"meters",c(-118.8427778, 45.6947222)
"401",401,"19571.*A",45.5886111,-122.5966667,15631,"170900120201",7.92,"meters",c(-122.5966667, 45.5886111)
"402",402,"19580.*A",44.2538889,-121.1497222,46703,"170703051005",934.89,"meters",c(-121.1497222, 44.2538889)
"403",403,"19595.*A",44.9094444,-123.0025,47237,"170900070301",60.97,"meters",c(-123.0025, 44.9094444)
"404",404,"19673.*A",40.6522222,-75.4402778,21403,"020401060813",117.21,"meters",c(-75.4402778, 40.6522222)
"405",405,"19685.*A",40.2961111,-78.32,41624,"020503020304",451.7,"meters",c(-78.32, 40.2961111)
"406",406,"19905.*A",41.8027778,-78.6397222,40235,"050100010601",645.15,"meters",c(-78.6397222, 41.8027778)
"407",407,"20243.1*A",41.1780556,-78.8986111,41980,"050100060304",547.07,"meters",c(-78.8986111, 41.1780556)
"408",408,"20355.*A",42.0830556,-80.1738889,56424,"041201010406",221.57,"meters",c(-80.1738889, 42.0830556)
"409",409,"20420.*A",41.3772222,-79.8605556,16439,"050100030804",468.12,"meters",c(-79.8605556, 41.3772222)
"410",410,"20503.*A",40.1930556,-76.7625,43349,"020503051011",91.5,"meters",c(-76.7625, 40.1930556)
"411",411,"20640.*A",40.3152778,-78.8344444,16064,"050100070310",695.14,"meters",c(-78.8344444, 40.3152778)
"412",412,"20700.*A",40.1222222,-76.2941667,19773,"020503061001",118.85,"meters",c(-76.2941667, 40.1222222)
"413",413,"20724.*A",40.2744444,-79.4066667,43195,"050100080106",347.96,"meters",c(-79.4066667, 40.2744444)
"414",414,"21217.*A",39.8722222,-75.2408333,21168,"020402020507",1.8,"meters",c(-75.2408333, 39.8722222)
"415",415,"21252.*A",40.4913889,-80.2325,16352,"050301010304",345.39,"meters",c(-80.2325, 40.4913889)
"416",416,"21329.*A",40.3783333,-75.965,21429,"020402030604",96.76,"meters",c(-75.965, 40.3783333)
"417",417,"21545.1*A",40.8491667,-77.8486111,30074,"020502040106",372.43,"meters",c(-77.8486111, 40.8491667)
"418",418,"21781.*A",41.3383333,-75.7233333,29730,"020501070110",284.88,"meters",c(-75.7233333, 41.3383333)
"419",419,"21791.*A",41.2416667,-76.9216667,29678,"020502060605",158.7,"meters",c(-76.9216667, 41.2416667)
"420",420,"53004.*A",18.4947222,-67.1294444,1585,"210100020507",66.23,"meters",c(-67.1294444, 18.4947222)
"421",421,"53146.*A",18.0080556,-66.5627778,55405,"210100040310",7,"meters",c(-66.5627778, 18.0080556)
"422",422,"53180.1*A",18.4391667,-66.0019444,55469,"210100050501",3.03,"meters",c(-66.0019444, 18.4391667)
"423",423,"22024.*A",41.7238889,-71.4280556,15442,"010900040902",14.49,"meters",c(-71.4280556, 41.7238889)
"424",424,"22102.*A",34.4944444,-82.7091667,41178,"030601030401",229.51,"meters",c(-82.7091667, 34.4944444)
"425",425,"22174.*A",32.8986111,-80.0402778,41728,"030502010604",12.04,"meters",c(-80.0402778, 32.8986111)
"426",426,"22209.*A",33.9386111,-81.1194444,40320,"030501100104",64.58,"meters",c(-81.1194444, 33.9386111)
"427",427,"22276.*A",34.1852778,-79.7238889,43177,"030402010903",41.37,"meters",c(-79.7238889, 34.1852778)
"428",428,"22310.*A",34.7580556,-82.3763889,41165,"030501090402",287.58,"meters",c(-82.3763889, 34.7580556)
"429",429,"22316.1*A",34.8955556,-82.2186111,44202,"030501080102",288.36,"meters",c(-82.2186111, 34.8955556)
"430",430,"22328.51*A",32.2241667,-80.6972222,44411,"030502080608",4.57,"meters",c(-80.6972222, 32.2241667)
"431",431,"22444.*A",33.6797222,-78.9283333,11123,"030402080306",5.83,"meters",c(-78.9283333, 33.6797222)
"432",432,"22603.*A",45.4480556,-98.4222222,4194,"101600032003",396.27,"meters",c(-98.4222222, 45.4480556)
"433",433,"22631.*A",44.3044444,-96.8188889,18266,"101702020602",492.15,"meters",c(-96.8188889, 44.3044444)
"434",434,"22702.*A",44.385,-98.2283333,4309,"101600060803",391.21,"meters",c(-98.2283333, 44.385)
"435",435,"22762.*A",44.3825,-100.2858333,3335,"101401010303",523.63,"meters",c(-100.2858333, 44.3825)
"436",436,"22776.*A",44.0452778,-103.0572222,42286,"101201100204",965.13,"meters",c(-103.0572222, 44.0452778)
"437",437,"22789.*A",43.5819444,-96.7416667,4182,"101702031203",433.32,"meters",c(-96.7416667, 43.5819444)
"438",438,"22822.*A",44.9138889,-97.1547222,16543,"101702010504",527.3,"meters",c(-97.1547222, 44.9138889)
"439",439,"22884.*A",36.475,-82.4072222,94169,"060101020603",458.58,"meters",c(-82.4072222, 36.475)
"440",440,"22899.*A",35.035,-85.2033333,89324,"060200010905",204.21,"meters",c(-85.2033333, 35.035)
"441",441,"23023.*A",35.5997222,-88.9155556,18014,"080102050303",126.8,"meters",c(-88.9155556, 35.5997222)
"442",442,"23046.*A",35.8091667,-83.9952778,94552,"060102010205",292.25,"meters",c(-83.9952778, 35.8091667)
"443",443,"23097.*A",35.0422222,-89.9766667,54994,"080102110103",90.84,"meters",c(-89.9766667, 35.0422222)
"444",444,"23103.02*A",35.3563889,-89.8702778,30649,"080102090302",90.7,"meters",c(-89.8702778, 35.3563889)
"445",445,"23121.*A",36.1244444,-86.6780556,22565,"051302020102",173.99,"meters",c(-86.6780556, 36.1244444)
"446",446,"23189.*A",36.0088889,-86.52,22430,"051302030305",156.35,"meters",c(-86.52, 36.0088889)
"447",447,"23287.*A",32.4111111,-99.6816667,96940,"120601020707",545.25,"meters",c(-99.6816667, 32.4111111)
"448",448,"23328.*A",35.2191667,-101.7058333,96907,"111203010101",1097.8,"meters",c(-101.7058333, 35.2191667)
"449",449,"23337.22*A",29.1086111,-95.4619444,11124,"120402050400",8.25,"meters",c(-95.4619444, 29.1086111)
"450",450,"23369.*A",30.1944444,-97.6697222,96299,"120902050409",149.76,"meters",c(-97.6697222, 30.1944444)
"451",451,"23416.*A",29.9508333,-94.0205556,97401,"120402010300",3.55,"meters",c(-94.0205556, 29.9508333)
"452",452,"23499.*A",25.9061111,-97.4258333,30031,"121102080900",5.21,"meters",c(-97.4258333, 25.9061111)
"453",453,"23635.*A",30.5883333,-96.3636111,18848,"120701010705",94.76,"meters",c(-96.3636111, 30.5883333)
"454",454,"23657.2*A",27.7708333,-97.5011111,51740,"121102020103",11.64,"meters",c(-97.5011111, 27.7708333)
"455",455,"23713.*A",32.8469444,-96.8516667,30528,"120301050101",144.94,"meters",c(-96.8516667, 32.8469444)
"456",456,"23710.6*A",32.8972222,-97.0375,96890,"120301020705",176.77,"meters",c(-97.0375, 32.8972222)
"457",457,"23745.*A",29.3741667,-100.9269444,23839,"130800010204",299.92,"meters",c(-100.9269444, 29.3741667)
"458",458,"23830.*A",31.8072222,-106.3761111,23319,"130401000103",1201.63,"meters",c(-106.3761111, 31.8072222)
"459",459,"23882.2*A",31.0672222,-97.8288889,97431,"120702030507",304.58,"meters",c(-97.8288889, 31.0672222)
"460",460,"23895.3*A",32.9875,-97.3186111,14435,"120301040302",213.15,"meters",c(-97.3186111, 32.9875)
"461",461,"23887.*A",32.8197222,-97.3622222,97425,"120301020501",206.21,"meters",c(-97.3622222, 32.8197222)
"462",462,"24012.*A",26.2269444,-97.655,29042,"121102080700",9.5,"meters",c(-97.655, 26.2269444)
"463",463,"24067.3*A",29.6072222,-95.1586111,94276,"120402040100",8.78,"meters",c(-95.1586111, 29.6072222)
"464",464,"24071.1*A",29.9844444,-95.3413889,97135,"120401040603",26.86,"meters",c(-95.3413889, 29.9844444)
"465",465,"24071.*A",29.6452778,-95.2788889,97211,"120401040502",12.97,"meters",c(-95.2788889, 29.6452778)
"466",466,"24194.*A",27.5441667,-99.4613889,23856,"130800022804",150.06,"meters",c(-99.4613889, 27.5441667)
"467",467,"24239.*A",32.3838889,-94.7113889,18836,"120100020606",107.17,"meters",c(-94.7113889, 32.3838889)
"468",468,"24245.*A",33.6636111,-101.8205556,14049,"120500020508",991.63,"meters",c(-101.8205556, 33.6636111)
"469",469,"24260.*A",26.1758333,-98.2386111,28636,"121102080100",29.05,"meters",c(-98.2386111, 26.1758333)
"470",470,"24353.*A",31.9425,-102.2016667,94860,"120800050404",870.36,"meters",c(-102.2016667, 31.9425)
"471",471,"24693.*A",31.3575,-100.4961111,93901,"120901020507",581.17,"meters",c(-100.4961111, 31.3575)
"472",472,"24709.*A",29.5338889,-98.4688889,27233,"121003010102",237.79,"meters",c(-98.4688889, 29.5338889)
"473",473,"24947.*A",32.3536111,-95.4025,96868,"120200010105",162.97,"meters",c(-95.4025, 32.3536111)
"474",474,"24971.*A",28.8525,-96.9183333,53271,"121004020103",31.92,"meters",c(-96.9183333, 28.8525)
