"","ID","SiteNumber","Lat","Long","intersection","HUC","elevation","elev_units","geometry"
"55",55,"00816.*A",32.1158333,-110.9408333,21648,"150503010905",791.39,"meters",c(-110.9408333, 32.1158333)
"56",56,"00841.*A",32.6563889,-114.6058333,20953,"150301080301",57.06,"meters",c(-114.6058333, 32.6563889)
"57",57,"01255.1*A",40.9777778,-124.1083333,57349,"180101020503",61.78,"meters",c(-124.1083333, 40.9777778)
"58",58,"01291.*A",35.4336111,-119.0575,38266,"180300120801",146.71,"meters",c(-119.0575, 35.4336111)
"59",59,"01353.*A",34.2005556,-118.3586111,5788,"180701050208",220.94,"meters",c(-118.3586111, 34.2005556)
"60",60,"01376.1*A",33.1280556,-117.28,85156,"180703030502",96.17,"meters",c(-117.28, 33.1280556)
"61",61,"01395.*A",39.7952778,-121.8583333,83706,"180201570601",68.17,"meters",c(-121.8583333, 39.7952778)
"62",62,"01437.*A",37.9894444,-122.0566667,57682,"180500010204",5.79,"meters",c(-122.0566667, 37.9894444)
"63",63,"01464.*A",41.78,-124.2363889,57145,"180101010504",17.56,"meters",c(-124.2363889, 41.78)
"64",64,"01591.*A",36.7763889,-119.7186111,59943,"180300090503",100.62,"meters",c(-119.7186111, 36.7763889)
"65",65,"01683.*A",32.8341667,-115.5786111,23134,"181002040801",-16.67,"meters",c(-115.5786111, 32.8341667)
"66",66,"01794.*A",33.8175,-118.1516667,2019,"180701060702",12.35,"meters",c(-118.1516667, 33.8175)
"67",67,"01818.*A",33.9422222,-118.4080556,5800,"180701060101",34.27,"meters",c(-118.4080556, 33.9422222)
"68",68,"01857.*A",37.6238889,-118.8386111,58772,"180901020207",2166.68,"meters",c(-118.8386111, 37.6238889)
"69",69,"01886.*A",37.2847222,-120.5138889,82538,"180400011703",46.47,"meters",c(-120.5138889, 37.2847222)
"70",70,"01896.*A",37.6258333,-120.9541667,82464,"180400091402",26.71,"meters",c(-120.9541667, 37.6258333)
"71",71,"01914.*A",36.5869444,-121.8427778,5468,"180600150304",61.33,"meters",c(-121.8427778, 36.5869444)
"72",72,"01971.*A",37.7211111,-122.2211111,57062,"180500041001",0,"meters",c(-122.2211111, 37.7211111)
"73",73,"01986.*A",34.0558333,-117.6011111,84505,"180702030704",281.52,"meters",c(-117.6011111, 34.0558333)
"74",74,"02001.*A",34.2005556,-119.2072222,5550,"180701030202",11.44,"meters",c(-119.2072222, 34.2005556)
"75",75,"02017.*A",33.8294444,-116.5066667,58543,"181002010205",129.94,"meters",c(-116.5066667, 33.8294444)
"76",76,"02089.*A",40.5088889,-122.2933333,2031,"180201540305",151.38,"meters",c(-122.2933333, 40.5088889)
"77",77,"02124.2*A",38.6952778,-121.5905556,84170,"180201610402",7.94,"meters",c(-121.5905556, 38.6952778)
"78",78,"02154.*A",34.0952778,-117.2347222,84390,"180702030508",340.74,"meters",c(-117.2347222, 34.0952778)
"79",79,"02170.*A",32.7333333,-117.1894444,84025,"180703041202",4.67,"meters",c(-117.1894444, 32.7333333)
"80",80,"02187.*A",37.6186111,-122.3752778,57062,"180500041001",3.05,"meters",c(-122.3752778, 37.6186111)
"81",81,"02204.*A",37.3625,-121.9288889,56814,"180500030306",14.42,"meters",c(-121.9288889, 37.3625)
"82",82,"02211.*A",35.2372222,-120.6425,38402,"180600060702",57.33,"meters",c(-120.6425, 35.2372222)
"83",83,"02230.*A",33.6755556,-117.8680556,84571,"180702040103",14.63,"meters",c(-117.8680556, 33.6755556)
"84",84,"02235.*A",34.4261111,-119.8413889,5343,"180600130202",2.78,"meters",c(-119.8413889, 34.4261111)
"85",85,"02251.*A",34.8997222,-120.4580556,38323,"180600080502",68.33,"meters",c(-120.4580556, 34.8997222)
"86",86,"02260.*A",38.5094444,-122.8127778,59793,"180101100706",36.12,"meters",c(-122.8127778, 38.5094444)
"87",87,"02314.*A",37.8941667,-121.2380556,57589,"180400510403",8.22,"meters",c(-121.2380556, 37.8941667)
"88",88,"02407.*A",34.5972222,-117.3827778,83670,"180902080603",868.75,"meters",c(-117.3827778, 34.5972222)
"89",89,"02510.*A",37.435,-105.8677778,30433,"130100020207",2297.2,"meters",c(-105.8677778, 37.435)
"90",90,"02517.*A",39.2216667,-106.8680556,58966,"140100040602",2362.51,"meters",c(-106.8680556, 39.2216667)
"91",91,"02543.*A",38.8055556,-104.7005556,8794,"110200030302",1864.2,"meters",c(-104.7005556, 38.8055556)
"92",92,"02546.1*A",37.3027778,-108.6280556,84524,"140802020301",1803.01,"meters",c(-108.6280556, 37.3027778)
"93",93,"02573.*A",39.8616667,-104.6730556,57922,"101900030404",1635.69,"meters",c(-104.6730556, 39.8616667)
"94",94,"02569.*A",39.9086111,-105.1169444,57924,"101900030406",1713.08,"meters",c(-105.1169444, 39.9086111)
"95",95,"02586.1*A",37.1513889,-107.7536111,6304,"140801040802",2027.96,"meters",c(-107.7536111, 37.1513889)
"96",96,"02588.*A",39.6425,-106.9158333,56962,"140100030605",1975.44,"meters",c(-106.9158333, 39.6425)
"97",97,"02603.1*A",40.4516667,-105.0111111,53454,"101900071002",1523.14,"meters",c(-105.0111111, 40.4516667)
"98",98,"02624.*A",39.1222222,-108.5266667,59353,"140100051602",1473.45,"meters",c(-108.5266667, 39.1222222)
"99",99,"02631.*A",38.5341667,-106.9316667,5725,"140200030605",2335.75,"meters",c(-106.9316667, 38.5341667)
