"","TYPE","CARC_FAC_WITH_POINT_SOURCE_IN_HUC","PERC_CARC_FAC_DENOM_TOTAL_IN_HUC","PERC_CARC_FAC_DENOM_TOTAL_OF_TYPE","AT_LEAST_CARC_POP_WITH_POINT_SOURCE_IN_HUC","JUV_CARC_FAC_WITH_POINT_SOURCE_IN_HUC","PERC_JUV_CARC_FAC_DENOM_TOTAL_IN_HUC","PERC_JUV_CARC_FAC_DENOM_TOTAL_OF_TYPE","AT_LEAST_JUV_CARC_POP_WITH_POINT_SOURCE_IN_HUC","NON_JUV_CARC_FAC_WITH_POINT_SOURCE_IN_HUC","PERC_NON_JUV_CARC_FAC_DENOM_TOTAL_IN_HUC","PERC_NON_JUV_CARC_FAC_DENOM_TOTAL_OF_TYPE","AT_LEAST_NON_JUV_CARC_POP_WITH_POINT_SOURCE_IN_HUC"
"1","COUNTY",1684,58.3708838821491,46.9997209042702,417450,310,55.5555555555556,61.5079365079365,5293,1374,59.0459819510099,44.6248782072101,412157
"2","FEDERAL",94,3.25823223570191,37.6,65657,0,0,NA,0,94,4.0395358831113,37.6,65657
"3","LOCAL",234,8.11091854419411,70.2702702702703,23895,31,5.55555555555556,64.5833333333333,240,203,8.72367855608079,71.2280701754386,23655
"4","MULTI",19,0.658578856152513,54.2857142857143,4441,1,0.17921146953405,50,4,18,0.773528147829824,54.5454545454545,4437
"5","NOT AVAILABLE",10,0.346620450606586,50,77,4,0.716845878136201,40,77,6,0.257842715943275,60,0
"6","STATE",844,29.2547660311958,44.4913020558777,484248,212,37.9928315412186,48.0725623582766,7258,632,27.1594327460249,43.4065934065934,476990
